Text,Date,Duration
Galh,2024-03-18 05:39:37.885934,0 days 00:00:00.020272
A,2024-03-18 05:39:37.906706,0 days 00:00:00.014208
S,2024-03-18 05:39:37.921336,0 days 00:00:00.068475
An,2024-03-18 05:39:37.990400,0 days 00:00:00.018961
Gr 4,2024-03-18 05:39:38.009875,0 days 00:00:00.066964
Mn,2024-03-18 05:39:38.077408,0 days 00:00:00.020351
Linu,2024-03-18 05:39:38.098236,0 days 00:00:00.014326
S,2024-03-18 05:39:38.112990,0 days 00:00:00.057968
Lu,2024-03-18 05:39:38.171537,0 days 00:00:00.019746
Mn,2024-03-18 05:39:38.191739,0 days 00:00:00.013741
U,2024-03-18 05:39:38.205905,0 days 00:00:00.068209
GTifa,2024-03-18 05:39:38.274728,0 days 00:00:00.019079
Mn,2024-03-18 05:39:38.294260,0 days 00:00:00.066093
"61,44",2024-03-18 05:39:38.360929,0 days 00:00:00.020437
Man,2024-03-18 05:39:38.381841,0 days 00:00:00.056920
L,2024-03-18 05:39:38.439462,0 days 00:00:00.020308
Man,2024-03-18 05:39:38.460239,0 days 00:00:00.013999
L,2024-03-18 05:39:38.474651,0 days 00:00:00.068037
Mn,2024-03-18 05:39:38.543257,0 days 00:00:00.018883
Ltla,2024-03-18 05:39:38.562601,0 days 00:00:00.014568
M,2024-03-18 05:39:38.633887,0 days 00:00:00.019726
L],2024-03-18 05:39:38.654208,0 days 00:00:00.068458
M,2024-03-18 05:39:38.723372,0 days 00:00:00.009336
Lt,2024-03-18 05:39:38.733227,0 days 00:00:00.078193
Mn,2024-03-18 05:39:38.812197,0 days 00:00:00.020514
Ldl,2024-03-18 05:39:38.833325,0 days 00:00:00.072280
Llt,2024-03-18 05:39:38.906403,0 days 00:00:00.018570
M,2024-03-18 05:39:38.925524,0 days 00:00:00.013499
F,2024-03-18 05:39:38.939537,0 days 00:00:00.069698
La,2024-03-18 05:39:39.009942,0 days 00:00:00.018358
Mean,2024-03-18 05:39:39.028901,0 days 00:00:00.016708
